"category","name","label","label2","address","postal_code","country","latitude","longitude"
"PARKS","BEDOK RESERVOIR PK","RESERVES","EK501",NA,NA,"Singapore",1.342343687,103.9258486
"PARKS","Hindhede Nature Park","RESERVES","NRNP11",NA,NA,"Singapore",1.350144167,103.7759838
"PARKS","Hindhede Nature Park","RESERVES","NRNP11",NA,NA,"Singapore",1.347585894,103.7759806
"PARKS","CHESTNUT CLOSE PARK","RESERVES","PKWR013",NA,NA,"Singapore",1.368951416,103.7733389
"PARKS","CHESTNUT CLOSE PARK","RESERVES","PKWR013",NA,NA,"Singapore",1.369243439,103.7732939
"PARKS","CHESTNUT CLOSE PARK","RESERVES","PKWR013",NA,NA,"Singapore",1.369118999,103.7734367
"PARKS","CHESTNUT CLOSE PARK","RESERVES","PKWR013",NA,NA,"Singapore",1.369058033,103.7739985
"PARKS","HAIG WALK (GEYLANG RD-DUNMAN RD)","RESERVES","EK593",NA,NA,"Singapore",1.306629516,103.9006827
"PARKS","HAIG WALK (GEYLANG RD-DUNMAN RD)","RESERVES","EK593",NA,NA,"Singapore",1.308770822,103.8996021
"PARKS","PEARL'S HILL CITY PK","RESERVES","SO508",NA,NA,"Singapore",1.284487478,103.8398803
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.30344104,103.7906329
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.299447009,103.7905919
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.295096456,103.7929106
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.300909777,103.7905632
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.305518951,103.7890221
"PARKS","one-north Park","RESERVES","WP506",NA,NA,"Singapore",1.306029095,103.7880896
"PARKS","Hillview Crescent Playground","RESERVES","WB539",NA,NA,"Singapore",1.355341126,103.7609974
"PARKS","FARQUHAR GARDEN (FCP)","RESERVES","SF511",NA,NA,"Singapore",1.295708604,103.8487232
"PARKS","Jalan Remaja Interim Park","RESERVES","PKWR010",NA,NA,"Singapore",1.35754688,103.7608006
"PARKS","MARSILING PARK","RESERVES","NW500",NA,NA,"Singapore",1.437671417,103.7697867
"PARKS","Kent Ridge Park","RESERVES","WP503",NA,NA,"Singapore",1.285028007,103.7893633
"PARKS","Kent Ridge Park","RESERVES","WP503",NA,NA,"Singapore",1.278532403,103.79447
"PARKS","Kent Ridge Park","RESERVES","WP503",NA,NA,"Singapore",1.277027098,103.7940813
"PARKS","Kent Ridge Park","RESERVES","WP503",NA,NA,"Singapore",1.288700524,103.7840836
"PARKS","MIMOSA TERRACE PG","RESERVES","NP535",NA,NA,"Singapore",1.384029441,103.8604278
"PARKS","JLN GENENG INTERIM PK","RESERVES","NP542",NA,NA,"Singapore",1.353333347,103.8809143
"PARKS","West Coast Park","RESERVES","WJ500",NA,NA,"Singapore",1.296715205,103.7627251
"PARKS","West Coast Park","RESERVES","WJ500",NA,NA,"Singapore",1.288572417,103.7722323
"PARKS","EAST COAST TERRACE PK","RESERVES","EK514",NA,NA,"Singapore",1.310938488,103.9238149
"PARKS","Phoenix Park","RESERVES","WB527",NA,NA,"Singapore",1.375881322,103.7572272
"PARKS","EAST COAST PARK AREA H","RESERVES","EE516",NA,NA,"Singapore",1.315968577,103.9687543
"PARKS","ALJUNIED PK","RESERVES","NP507",NA,NA,"Singapore",1.329461213,103.879916
"PARKS","STRATTON WALK PG","RESERVES","NP531",NA,NA,"Singapore",1.379162376,103.8669313
"PARKS","PEBBLE GARDEN","RESERVES","NS525",NA,NA,"Singapore",1.450641341,103.8294901
"PARKS","ARMENIAN STREET (FCP)","RESERVES","CO107",NA,NA,"Singapore",1.294464142,103.8494937
"PARKS","ARMENIAN STREET (FCP)","RESERVES","CO107",NA,NA,"Singapore",1.293343447,103.8488662
"PARKS","JLN CHEMPAKA KUNING PG","RESERVES","EC512",NA,NA,"Singapore",1.329745237,103.9501755
"PARKS","CANNING RISE (FCP)","RESERVES","CO808",NA,NA,"Singapore",1.295486361,103.8481284
"PARKS","UPPER PAYA LEBAR INTERIM PARK","RESERVES","NP548",NA,NA,"Singapore",1.343582667,103.8824198
"PARKS","Nim Meadow Park","RESERVES","NP549",NA,NA,"Singapore",1.378638509,103.8633382
"PARKS","PARRY RD PG","RESERVES","NP527",NA,NA,"Singapore",1.365945067,103.8775405
"PARKS","LENTOR VALE PG","RESERVES","NS515",NA,NA,"Singapore",1.387994155,103.8361407
"PARKS","BANYAN VILLAS PG","RESERVES","NS516",NA,NA,"Singapore",1.387286892,103.838847
"PARKS","LUCKY GARDENS PG","RESERVES","EC525",NA,NA,"Singapore",1.31925467,103.941457
"PARKS","SENNETT AVE PG","RESERVES","EC526",NA,NA,"Singapore",1.316950315,103.9361702
"PARKS","JLN LIMAU KASTURI PG","RESERVES","EC527",NA,NA,"Singapore",1.323980066,103.9463705
"PARKS","KEW AVE PG","RESERVES","EC528",NA,NA,"Singapore",1.321626513,103.9484527
"PARKS","KEW CRESCENT PG","RESERVES","EC529",NA,NA,"Singapore",1.319287717,103.9485408
"PARKS","Bukit Gombak Park","RESERVES","WT516",NA,NA,"Singapore",1.367310123,103.75244
"PARKS","BEDOK RIA CRESCENT PG","RESERVES","EC519",NA,NA,"Singapore",1.32742201,103.9530778
"PARKS","HARVEY CRESCENT PG","RESERVES","EC520",NA,NA,"Singapore",1.340654674,103.9552197
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.314200302,103.8159585
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.313727414,103.8105355
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.314849164,103.8176465
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.307470877,103.8189469
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.308397951,103.8185954
"PARKS","SINGAPORE BOTANIC GARDENS","RESERVES","SBG",NA,NA,"Singapore",1.308952225,103.8183482
"PARKS","JANGGUS GARDEN","RESERVES","NS524",NA,NA,"Singapore",1.457528798,103.8369723
"PARKS","JLN LIMAU MANIS PG","RESERVES","EC508",NA,NA,"Singapore",1.324725441,103.9490564
"PARKS","GARDEN VIEW PG","RESERVES","NA527",NA,NA,"Singapore",1.360383555,103.8656691
"PARKS","THOMSON GREEN PG","RESERVES","NA520",NA,NA,"Singapore",1.378693986,103.8326018
"PARKS","JLN RIANG PG","RESERVES","NA528",NA,NA,"Singapore",1.347131024,103.8673689
"PARKS","MEI HWAN CRESCENT PG","RESERVES","NA529",NA,NA,"Singapore",1.352807716,103.8617364
"PARKS","FULTON AVE PG","RESERVES","NA538",NA,NA,"Singapore",1.36212607,103.8335579
"PARKS","TAMARIND RD PG","RESERVES","NP523",NA,NA,"Singapore",1.389694184,103.8601972
"PARKS","NIM CRESCENT OS","RESERVES","NP524",NA,NA,"Singapore",1.383068566,103.8668446
"PARKS","BEGONIA RD PG","RESERVES","NP525",NA,NA,"Singapore",1.387865074,103.8633803
"PARKS","JLN NAUNG PG","RESERVES","NP526",NA,NA,"Singapore",1.369532016,103.8928192
"PARKS","JLN ISMAIL PK","RESERVES","EK751",NA,NA,"Singapore",1.323199425,103.9058439
"PARKS","ELITE TERRACE PK","RESERVES","EK516",NA,NA,"Singapore",1.315593825,103.9243051
"PARKS","GEYLANG EAST PK","RESERVES","EK518",NA,NA,"Singapore",1.321773086,103.8876567
"PARKS","LOYANG VIEW PG","RESERVES","EC507",NA,NA,"Singapore",1.36315037,103.9658093
"PARKS","JLN ANGIN LAUT PG","RESERVES","EC509",NA,NA,"Singapore",1.337155422,103.9562272
"PARKS","EASTWOOD PK PG","RESERVES","EC511",NA,NA,"Singapore",1.323140702,103.9575787
"PARKS","SUNRISE WAY PG","RESERVES","NA518",NA,NA,"Singapore",1.387661011,103.856694
"PARKS","YISHUN PK","RESERVES","NS501",NA,NA,"Singapore",1.42448807,103.8424829
"PARKS","CARPMAEL PARK","RESERVES","EK524",NA,NA,"Singapore",1.311502708,103.898958
"PARKS","INTERIM PK AT TERANG BULAN AVE","RESERVES","EK532",NA,NA,"Singapore",1.321597372,103.9215625
"PARKS","TAMAN PERMATA PK","RESERVES","NA550",NA,NA,"Singapore",1.350006928,103.834969
"PARKS","LEBAN PARK","RESERVES","NA511",NA,NA,"Singapore",1.372611097,103.8291683
"PARKS","Bukit Batok Town Park","RESERVES","NRNP16",NA,NA,"Singapore",1.357578536,103.7557269
"PARKS","EAST COAST PARK AREA C","RESERVES","EE502",NA,NA,"Singapore",1.300348823,103.9113743
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.272822106,103.8190474
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.270145349,103.8196672
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.273902879,103.816774
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.270107086,103.824617
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.271159012,103.8245404
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.270805986,103.8248962
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.273061596,103.820513
"PARKS","Mount Faber Park","RESERVES","WT502",NA,NA,"Singapore",1.268979157,103.8288755
"PARKS","Telok Blangah Hill Park","RESERVES","WT505",NA,NA,"Singapore",1.278394252,103.811873
"PARKS","Telok Blangah Hill Park","RESERVES","WT505",NA,NA,"Singapore",1.280071361,103.8037021
"PARKS","Telok Blangah Hill Park","RESERVES","WT505",NA,NA,"Singapore",1.280155731,103.8026958
"PARKS","Hoover Park (Lor Pisang Hijau Playground)","RESERVES","WB536",NA,NA,"Singapore",1.34386137,103.7730481
"PARKS","Pavilion Playground II","RESERVES","PKWR017",NA,NA,"Singapore",1.368250249,103.7533143
"PARKS","Faber Heights Park","RESERVES","PKWR022",NA,NA,"Singapore",1.323879021,103.7552821
"PARKS","Coney Island Park","RESERVES","NP501",NA,NA,"Singapore",1.408830945,103.9226172
"PARKS","Native Plant Centre","RESERVES","HN002",NA,NA,"Singapore",1.417252251,103.72741
"PARKS","Chuan Lane Park","RESERVES","NA551",NA,NA,"Singapore",1.35175389,103.8580869
"PARKS","LORONG MELAYU PARK","RESERVES","PKER017",NA,NA,"Singapore",1.323993101,103.909265
"PARKS","MIMOSA WALK PG","RESERVES","NP519",NA,NA,"Singapore",1.38308347,103.861461
"PARKS","JLN PELATOK PG","RESERVES","EC515",NA,NA,"Singapore",1.346145802,103.9602698
"PARKS","SERENADE WALK PG","RESERVES","NA513",NA,NA,"Singapore",1.379764158,103.8346445
"PARKS","SUNRISE DR PG I","RESERVES","NA516",NA,NA,"Singapore",1.388273038,103.857407
"PARKS","SUNRISE PLACE PG","RESERVES","NA517",NA,NA,"Singapore",1.386942706,103.8566078
"PARKS","SUNRISE DR PG II","RESERVES","NA525",NA,NA,"Singapore",1.3902934,103.855201
"PARKS","CHARTWELL DR PK","RESERVES","NA526",NA,NA,"Singapore",1.359538802,103.8639039
"PARKS","Upper Seletar Reservoir Park","RESERVES","NRNP05",NA,NA,"Singapore",1.400458369,103.8066974
"PARKS","Chestnut Nature Park","RESERVES","NRNP10",NA,NA,"Singapore",1.380146109,103.7788207
"PARKS","Chestnut Nature Park","RESERVES","NRNP10",NA,NA,"Singapore",1.36878667,103.7805686
"PARKS","Chestnut Nature Park","RESERVES","NRNP10",NA,NA,"Singapore",1.372662106,103.7801321
"PARKS","Kranji Coastal Nature Park","RESERVES","NRNP27",NA,NA,"Singapore",1.444180076,103.7336256
"PARKS","OLD UPPER ALJUNIED ROAD","RESERVES","CN773",NA,NA,"Singapore",1.339078762,103.873847
"PARKS","OLD UPPER ALJUNIED ROAD","RESERVES","CN773",NA,NA,"Singapore",1.339609631,103.8725094
"PARKS","OLD UPPER ALJUNIED ROAD","RESERVES","CN773",NA,NA,"Singapore",1.338073203,103.8763819
"PARKS","OLD UPPER ALJUNIED ROAD","RESERVES","CN773",NA,NA,"Singapore",1.338872057,103.8753894
"PARKS","OLD UPPER ALJUNIED ROAD","RESERVES","CN773",NA,NA,"Singapore",1.339431788,103.8745439
"PARKS","CHEMPAKA AVE PG","RESERVES","NP541",NA,NA,"Singapore",1.331874085,103.8756155
"PARKS","LENTOR STREET PG","RESERVES","NS509",NA,NA,"Singapore",1.390096689,103.8342826
"PARKS","FUDU WALK PG","RESERVES","NS511",NA,NA,"Singapore",1.38984629,103.837214
"PARKS","LENTOR GREEN PG","RESERVES","NS512",NA,NA,"Singapore",1.385247452,103.8370401
"PARKS","MARINE PARADE RD PK","RESERVES","EK555",NA,NA,"Singapore",1.304985194,103.9082435
"PARKS","MARINE PARADE RD PK","RESERVES","EK555",NA,NA,"Singapore",1.302393088,103.9044073
"PARKS","MARINE PARADE RD PK","RESERVES","EK555",NA,NA,"Singapore",1.303493198,103.9059263
"PARKS","SISTERS' ISLAND MARINE PARK","RESERVES","PKCR030",NA,NA,"Singapore",1.214491317,103.8336274
"PARKS","SISTERS' ISLAND MARINE PARK","RESERVES","PKCR030",NA,NA,"Singapore",1.218585415,103.8463357
"PARKS","SISTERS' ISLAND MARINE PARK","RESERVES","PKCR030",NA,NA,"Singapore",1.231497642,103.8366497
"PARKS","Jalan Senang Linear Park","RESERVES","PKER004",NA,NA,"Singapore",1.325716492,103.917202
"PARKS","Jalan Senang Linear Park","RESERVES","PKER004",NA,NA,"Singapore",1.324935091,103.9158272
"PARKS","Jalan Senang Linear Park","RESERVES","PKER004",NA,NA,"Singapore",1.3241987,103.9148867
"PARKS","Jalan Senang Linear Park","RESERVES","PKER004",NA,NA,"Singapore",1.323328956,103.9139469
"PARKS","MACRITCHIE RESERVOIR PK","RESERVES","CN007",NA,NA,"Singapore",1.342606718,103.8335909
"PARKS","Pulau Ubin and Chek Jawa","RESERVES","NRNP21",NA,NA,"Singapore",1.413370339,103.9598406
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.290281467,103.8534622
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.289700878,103.8533925
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.28829931,103.8523831
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.291425243,103.8540559
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.291565127,103.8541568
"PARKS","CONNAUGHT DRIVE","RESERVES","CO154",NA,NA,"Singapore",1.301877562,104.686123
"PARKS","HENRY PK","RESERVES","WB526",NA,NA,"Singapore",1.316267026,103.7831238
"PARKS","NOVENA RISE PK","RESERVES","ST531",NA,NA,"Singapore",1.324699156,103.8429024
"PARKS","FUYONG INTERIM PK","RESERVES","PKWR011",NA,NA,"Singapore",1.357446055,103.7688028
"PARKS","ANG MO KIO TOWN GARDEN WEST","RESERVES","NA501",NA,NA,"Singapore",1.374167607,103.8429487
"PARKS","CHOA CHU KANG PK","RESERVES","NW502",NA,NA,"Singapore",1.387072049,103.7473877
"PARKS","Tampines North Boulevard Park","RESERVES","WT517",NA,NA,"Singapore",1.363742219,103.9407308
"PARKS","EAST COAST PARK AREA D","RESERVES","EE503",NA,NA,"Singapore",1.304322599,103.9247547
"PARKS","Bishan-Ang Mo Kio Park (Pond Gardens)","RESERVES","NA502",NA,NA,"Singapore",1.365170695,103.8362982
"PARKS","ST. NICHOLAS VIEW PLAYGROUND","RESERVES","NA508",NA,NA,"Singapore",1.371706011,103.8328149
"PARKS","Hampstead Wetlands Park","RESERVES","PKCN003",NA,NA,"Singapore",1.409355825,103.8692833
"PARKS","Jurong Lake Gardens West","RESERVES","PKWR018",NA,NA,"Singapore",1.333822443,103.7266331
"PARKS","Labrador Nature Reserve","RESERVES","NRNP01",NA,NA,"Singapore",1.266612185,103.8025392
"PARKS","Bukit Timah Nature Reserve","RESERVES","NRNP03",NA,NA,"Singapore",1.35443434,103.7780731
"PARKS","Labrador Nature Park","RESERVES","NRNP18",NA,NA,"Singapore",1.264399821,103.8039486
"PARKS","Labrador Nature Park","RESERVES","NRNP18",NA,NA,"Singapore",1.268687074,103.8005797
"PARKS","Labrador Nature Park","RESERVES","NRNP18",NA,NA,"Singapore",1.265988691,103.8042784
"PARKS","Labrador Nature Park","RESERVES","NRNP18",NA,NA,"Singapore",1.272192196,103.8026857
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.401902544,103.8201246
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.400089284,103.8197167
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.400755239,103.8154836
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.402257052,103.8218385
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.401394357,103.8192636
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.402875153,103.8253575
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.40202286,103.8257898
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.401268403,103.8230006
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.401245206,103.81782
"PARKS","SpringLeaf Nature Park","RESERVES","NRNP14",NA,NA,"Singapore",1.40163535,103.8241757
"PARKS","Central Catchment Nature Reserve","RESERVES","NRNP04",NA,NA,"Singapore",1.376327189,103.8018922
"PARKS","Central Catchment Nature Reserve","RESERVES","NRNP04",NA,NA,"Singapore",1.414320041,103.7903017
"PARKS","Central Catchment Nature Reserve","RESERVES","NRNP04",NA,NA,"Singapore",1.40868569,103.8073841
"PARKS","Central Catchment Nature Reserve","RESERVES","NRNP04",NA,NA,"Singapore",1.413450142,103.8056238
"PARKS","Sungei Buloh Southern Extension","RESERVES","NRNP30",NA,NA,"Singapore",1.435828486,103.7205689
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.351230826,103.7716431
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.332400127,103.7813298
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.403262189,103.7535474
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.374190385,103.7621109
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.368202468,103.7647578
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.360015514,103.7666591
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.396676347,103.7527265
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.425219316,103.7603673
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.420034215,103.7548394
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.343748412,103.7768148
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.327638193,103.781656
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.324093501,103.7818545
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.31258351,103.7897122
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.297153444,103.796814
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.283866002,103.8103246
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.279474244,103.8225435
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.279784505,103.8197256
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.415868959,103.7545264
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.339098191,103.7802102
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.284134305,103.8064557
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.392688665,103.7531603
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.410474354,103.7552022
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.284329623,103.8033586
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.303957842,103.7933211
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.319466178,103.7842889
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.283101964,103.8138052
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.316644183,103.7858618
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.281852677,103.8161122
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.286446596,103.7993323
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.290148567,103.799018
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.292339144,103.798992
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.276341834,103.8281403
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.321376836,103.7833289
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.309695402,103.7910392
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.300658319,103.795138
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.390279518,103.7535258
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.274451894,103.830392
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.315009629,103.7871932
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.278981084,103.8247375
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.302406275,103.7941942
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.294683784,103.798636
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.341451791,103.7792991
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.277981175,103.826125
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.28102845,103.8174521
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.317745503,103.7850261
"PARKS","Rail Corridor","RESERVES","NRNP20",NA,NA,"Singapore",1.407250771,103.7548612
